source	id	datetime	species	area_cover	area_fraction	n_tree	vol_tree[m3ha-1]	h_max[m]	h_min[m]	diam_ground[m]	diam_breast[m]	depth[m]	lai	crown_diam_ratio	sap_fol_ratio	branch_fraction	stem_wood[kgm-2]	branch_wood[kgm-2]	root_wood[kgm-2]
setup	0	2021-12-31 23:00:00	ACTO	1	0.276685	48.3275	61.905	20	15.5854	0.814591	0.424352	1.50323	0.432807	20.1199	149.484	0.20002	4.28931	1.07246	8.74816
setup	0	2021-12-31 23:00:00	:ALL:	1	1.11669	48.3275	61.905	20	15.5854	0.814591	0.424352	1.50323	0.547396	20.1199	149.484	0.20002	4.28931	1.07246	8.74816
setup	0	2022-12-31 23:00:00	PERG	1	0.8	0	0	1.95	0	0	0	0.975	0.597212	1	0	0	0	0	0
setup	0	2022-12-31 23:00:00	PECL	1	0.04	0	0	1.75	0	0	0	0.77	0	1	0	0	0	0	0
setup	0	2022-12-31 23:00:00	ANGA	1	0	0	0	1.5	0	0	0	1.5	0	1	0	0	0	0	0
setup	0	2022-12-31 23:00:00	ACTO	1	0.279001	48.231	62.116	20	15.5854	0.815388	0.426551	1.50323	0.391925	20.1199	140.223	0.200019	4.29387	1.07359	8.75743
setup	0	2022-12-31 23:00:00	:ALL:	1	1.119	48.231	62.116	20	15.5854	0.815388	0.426551	1.50323	0.52468	20.1199	140.223	0.200019	4.29387	1.07359	8.75743
setup	0	2023-12-31 23:00:00	PERG	1	0.8	0	0	1.95	0	0	0	0.975	0.614306	1	0	0	0	0	0
setup	0	2023-12-31 23:00:00	PECL	1	0.04	0	0	1.75	0	0	0	0.77	0	1	0	0	0	0	0
setup	0	2023-12-31 23:00:00	ANGA	1	0	0	0	1.5	0	0	0	1.5	0	1	0	0	0	0	0
setup	0	2023-12-31 23:00:00	ACTO	1	0.280106	48.1346	62.6448	20	15.5854	0.815825	0.427822	1.50323	0.44455	20.1199	149.484	0.200018	4.34021	1.08518	8.85194
setup	0	2023-12-31 23:00:00	:ALL:	1	1.12011	48.1346	62.6448	20	15.5854	0.815825	0.427822	1.50323	0.549917	20.1199	149.484	0.200018	4.34021	1.08518	8.85194
