source	id	datetime	dC_ch4_emis[kgCha-1]	dC_co2_emis_auto[kgCha-1]	dC_co2_emis_hetero[kgCha-1]	dC_doc_leach[kgCha-1]	dN_don_leach[kgNha-1]	dN_no3_leach[kgNha-1]	dN_nh4_leach[kgNha-1]	dN_no_emis[kgNha-1]	dN_n2o_emis[kgNha-1]	dN_n2_emis[kgNha-1]	dN_nh3_emis[kgNha-1]	dN_n2_fix[kgNha-1]	dC_co2_fix[kgCha-1]	dS_so4_leach[kgSha-1]	dC_litter[kgCha-1]	dN_litter[kgNha-1]	dN_dep[kgNha-1]	dN_up_floor[kgNha-1]	dN_up_min[kgNha-1]	dN_mineral_floor[kgNha-1]	dN_mineral_min[kgNha-1]	dN_nitrify_floor[kgNha-1]	dN_nitrify_min[kgNha-1]	dN_denitrify_floor[kgNha-1]	dN_denitrify_min[kgNha-1]	dN_chemo_floor[kgNha-1]	dN_chemo_min[kgNha-1]	C_plants_floor[kgCha-1]	C_plants_min[kgCha-1]	C_soil_floor[kgCha-1]	C_soil_min[kgCha-1]	C_aorg_floor[kgCha-1]	C_aorg_min[kgCha-1]	C_litter_raw[kgCha-1]	C_litter_floor[kgCha-1]	C_litter_min[kgCha-1]	C_mic_floor[kgCha-1]	C_mic_min[kgCha-1]	C_sol_floor[kgCha-1]	C_sol_min[kgCha-1]	C_wood_above[kgCha-1]	C_wood_below[kgCha-1]	N_plants_floor[kgNha-1]	N_plants_min[kgNha-1]	N_soil_floor[kgNha-1]	N_soil_min[kgNha-1]	N_aorg_floor[kgNha-1]	N_aorg_min[kgNha-1]	N_litter_raw[kgNha-1]	N_litter_floor[kgNha-1]	N_litter_min[kgNha-1]	N_mic_floor[kgNha-1]	N_mic_min[kgNha-1]	N_sol_floor[kgNha-1]	N_sol_min[kgNha-1]	N_wood_above[kgNha-1]	N_wood_below[kgNha-1]	anvf_mean[-]
setup	0	2006-01-31 23:00:00	0	15.0063	3.65665	1.28964e-06	0	0.00105564	-1.69407e-17	0.000739104	0.00102734	0.000945053	5.3158e-06	0	0	0	1.10708	0.0118212	0.0136271	0	0.21963	-0	0.290817	-0	0.272736	-0	0.00365893	-0	4.93961e-08	0	1117.5	0	76416.4	0	160.449	1.3074	0	15.8204	0	148.649	0	0.355801	0	0	0	28.701	0	4913.62	0	15.8837	0.02079	0	0.20956	0	16.1282	0	1.48577	0	0	0.240897
setup	0	2006-02-01 23:00:00	0	14.9737	3.62044	1.26118e-06	0	0.00100897	-1.27055e-16	0.000706573	0.000870616	0.000683144	6.53081e-06	0	0	0	1.21245	0.0125895	0.0136256	0	0.215798	-0	0.282991	-0	0.265153	-0	0.00295129	-0	4.81935e-08	0	1139.24	0	76414	0	160.797	1.64832	0	16.1702	0	148.68	0	0.445081	0	0	0	29.2748	0	4913.43	0	15.8988	0.0264329	0	0.214491	0	16.0706	0	1.47821	0	0	0.227574
setup	0	2006-02-02 23:00:00	0	14.8608	3.5199	1.3877e-06	0	0.000948962	5.0822e-17	0.000664179	0.000738758	0.000476905	8.11283e-06	0	0	0	1.14986	0.0134597	0.0136257	0	0.210644	-0	0.273534	-0	0.254258	-0	0.00235586	-0	4.62592e-08	0	1156.08	0	76411.6	0	161.184	2.03995	0	16.5279	0	148.659	0	0.431429	0	0	0	29.8225	0	4913.24	0	15.9163	0.032922	0	0.219525	0	16.0112	0	1.47019	0	0	0.223166
setup	0	2006-02-03 23:00:00	0	14.8135	3.40856	2.54535e-05	0	0.000880338	7.6233e-17	0.000620711	0.000628271	0.000340516	9.55097e-06	0	0	0	1.22949	0.0144423	0.0136257	0	0.204964	-0	0.263969	-0	0.243344	-0	0.00188557	-0	4.44503e-08	0	1172.23	0	76409.4	0	161.522	2.48888	0	16.8923	0	148.655	0	0.487574	0	0	0	30.3427	0	4913.07	0	15.9296	0.0403685	0	0.224649	0	15.9572	0	1.46219	0	0	0.219544
setup	0	2006-02-04 23:00:00	0	14.8617	3.34248	1.19924e-06	0	0.00111068	8.04681e-17	0.000584659	0.000546291	0.000245489	1.16912e-05	0	0	0	1.23399	0.0155483	0.0136256	0	0.199825	-0	0.256122	-0	0.233837	-0	0.00148174	-0	4.25302e-08	0	1185.58	0	76407.4	0	161.822	3.00225	0	17.2623	0	148.681	0	0.49691	0	0	0	30.8333	0	4912.9	0	15.9405	0.0488929	0	0.229851	0	15.9072	0	1.45477	0	0	0.212359
setup	0	2006-02-05 23:00:00	0	14.7946	3.2659	1.48235e-06	0	0.000921328	-1.27055e-17	0.000561186	0.0004867	0.000180812	1.45757e-05	0	0	0	1.10675	0.0167894	0.0136256	0	0.195577	-0	0.250262	-0	0.226019	-0	0.00121635	-0	4.10509e-08	0	1193.1	0	76405.2	0	162.057	3.5878	0	17.6366	0	148.717	0	0.411803	0	0	0	31.2998	0	4912.73	0	15.9471	0.0586264	0	0.235114	0	15.8624	0	1.44856	0	0	0.213139
setup	0	2006-02-06 23:00:00	0	14.8843	3.20311	1.33718e-06	0	0.00120909	2.96462e-17	0.000541504	0.000441015	0.000138038	1.65013e-05	0	0	0	1.27328	0.0181775	0.0136257	0	0.191837	-0	0.245805	-0	0.22005	-0	0.00100331	-0	4.02214e-08	0	1202.11	0	76403.3	0	162.27	4.25389	0	18.0139	0	148.724	0	0.504521	0	0	0	31.7328	0	4912.57	0	15.9549	0.0697117	0	0.240433	0	15.8179	0	1.44349	0	0	0.204367
setup	0	2006-02-07 23:00:00	0	14.7925	3.19522	1.14375e-06	0	0.00109656	5.50571e-17	0.000525457	0.00040716	0.000106489	1.9265e-05	0	0	0	1.26766	0.0197252	0.0136256	0	0.188773	-0	0.242135	-0	0.214686	-0	0.000823809	-0	3.8792e-08	0	1206.32	0	76401.4	0	162.548	5.00995	0	18.395	0	148.675	0	0.478168	0	0	0	32.1347	0	4912.41	0	15.9705	0.0823085	0	0.245812	0	15.7659	0	1.4399	0	0	0.199619
setup	0	2006-02-08 23:00:00	0	14.9085	3.16475	1.44771e-06	0	0.00101913	0	0.000516486	0.000385222	8.54191e-05	2.205e-05	0	0	0	1.36874	0.0214454	0.0136256	0	0.186011	-0	0.238804	-0	0.210104	-0	0.000699694	-0	3.85078e-08	0	1211.49	0	76399.6	0	162.756	5.86516	0	18.7785	0	148.666	0	0.513426	0	0	0	32.499	0	4912.26	0	15.9813	0.0965788	0	0.251244	0	15.7208	0	1.43656	0	0	0.199222
setup	0	2006-02-09 23:00:00	0	14.6799	3.13746	2.37146e-05	0	0.00134437	-7.19978e-17	0.00050063	0.000360966	6.89785e-05	2.28339e-05	0	0	0	1.48094	0.023351	0.0136256	0	0.183143	-0	0.235019	-0	0.20562	-0	0.000596766	-0	3.74238e-08	0	1214.55	0	76397.9	0	162.931	6.83081	0	19.1657	0	148.686	0	0.554217	0	0	0	32.8358	0	4912.12	0	15.9889	0.112712	0	0.25674	0	15.6802	0	1.43331	0	0	0.183434
