source	id	datetime	C_mic_1[kgCm-2]	C_mic_2[kgCm-2]	C_mic_3[kgCm-2]	C_aorg[kgCm-2]	N_nh4[kgNm-2]	N_no3_ae[kgNm-2]	N_no3_an[kgNm-2]	C_doc_ae[kgCm-2]	C_doc_an[kgCm-2]	C_acetate_ae[kgCm-2]	C_acetate_an[kgCm-2]	sC_ch4_ebul[kgCm-2]	sC_ch4_plant[kgCm-2]	sC_ch4_soil[kgCm-2]	sC_ch4_water[kgCm-2]	sC_ch4_leach[kgCm-2]	sC_ch4_prod[kgCm-2]	sC_ch4_ox[kgCm-2]	sC_acetate_prod[kgCm-2]	sC_doc_prod[kgCm-2]	sN_no2_nit[kgNm-2]	sN_no3_denit[kgNm-2]	sN_n2o_ebul[kgNm-2]	sN_n2o_plant[kgNm-2]	sN_n2o_soil[kgNm-2]	sN_n2o_water[kgNm-2]	sN_no_ebul[kgNm-2]	sN_no_plant[kgNm-2]	sN_no_soil[kgNm-2]	sN_no_water[kgNm-2]	sN_nh3_ebul[kgNm-2]	sN_nh3_plant[kgNm-2]	sN_nh3_soil[kgNm-2]	sN_nh3_water[kgNm-2]	sO_plant_o2_cons[kgOm-2]	sO_plant_o2_prod[kgOm-2]	sO_algae_o2_prod[kgOm-2]	ph_watertable[-]	ph_soil_surface[-]	anvf[%]
setup	0	2008-01-02 12:00:00	0.00211134	0.00265366	0.00245485	0.0647148	0.000371139	0.000126817	2.7565e-05	0.000570326	0.00028498	5.38233e-06	2.95596e-05	0	0	-1.26678e-09	0	1.44757e-24	1.21507e-08	1.34297e-08	1.73765e-06	2.23089e-05	2.03409e-06	1.14469e-07	0	0	6.69896e-10	0	0	0	4.6951e-10	0	0	0	1.67482e-11	0	0	0	0	7	7.5	0.616705
setup	0	2008-01-02 13:00:00	0.00210479	0.00265761	0.0024491	0.0647183	0.000370278	0.000127383	2.8769e-05	0.000577107	0.000294321	5.5797e-06	3.09892e-05	0	0	-1.30356e-09	0	1.03398e-23	1.26365e-08	1.39408e-08	1.7789e-06	2.22586e-05	2.0128e-06	1.19517e-07	0	0	6.36171e-10	0	0	0	4.75988e-10	0	0	0	1.70104e-11	0	0	0	0	7	7.5	0.618923
setup	0	2008-01-02 14:00:00	0.0020985	0.00266151	0.00244335	0.0647217	0.000369411	0.000129146	2.87879e-05	0.000590274	0.000297258	6.14981e-06	3.20717e-05	0	0	-1.32402e-09	0	8.27181e-24	1.31268e-08	1.44151e-08	1.81297e-06	2.23325e-05	2.02608e-06	1.19039e-07	0	0	6.1177e-10	0	0	0	4.81164e-10	0	0	0	1.67965e-11	0	0	0	0	7	7.5	0.615132
setup	0	2008-01-02 15:00:00	0.0020924	0.00266544	0.0024376	0.064725	0.000368558	0.000129606	3.00657e-05	0.000596719	0.000306576	6.32269e-06	3.35846e-05	0	0	-1.33486e-09	0	5.79026e-24	1.36212e-08	1.49182e-08	1.84935e-06	2.20965e-05	1.98981e-06	1.23651e-07	0	0	5.9519e-10	0	0	0	4.85703e-10	0	0	0	1.64022e-11	0	0	0	0	7	7.5	0.617802
setup	0	2008-01-02 16:00:00	0.00208653	0.00266931	0.00243185	0.0647282	0.000367708	0.000131349	3.00622e-05	0.000609542	0.000309352	6.91189e-06	3.4702e-05	0	0	-1.33955e-09	0	-5.79026e-24	1.41195e-08	1.53869e-08	1.87789e-06	2.20051e-05	1.99168e-06	1.22795e-07	0	0	5.8392e-10	0	0	0	4.89416e-10	0	0	0	1.58874e-11	0	0	0	0	7	7.5	0.614029
setup	0	2008-01-02 17:00:00	0.00208082	0.00267322	0.00242609	0.0647313	0.00036688	0.00013157	3.15238e-05	0.000614282	0.000319716	7.05251e-06	3.62961e-05	0	0	-1.33903e-09	0	-1.24077e-24	1.46215e-08	1.58885e-08	1.90859e-06	2.15933e-05	1.94277e-06	1.28179e-07	0	0	5.75588e-10	0	0	0	4.92457e-10	0	0	0	1.52797e-11	0	0	0	0	7	7.5	0.617037
setup	0	2008-01-02 18:00:00	0.00207534	0.00267707	0.00242034	0.0647344	0.00036606	0.000133276	3.14962e-05	0.000626589	0.000322272	7.67243e-06	3.74264e-05	0	0	-1.3379e-09	0	-1.613e-23	1.51284e-08	1.63579e-08	1.93104e-06	2.14008e-05	1.93839e-06	1.26735e-07	0	0	5.73062e-10	0	0	0	4.95015e-10	0	0	0	1.46025e-11	0	0	0	0	7	7.5	0.613408
setup	0	2008-01-02 19:00:00	0.00207	0.00268096	0.00241459	0.0647374	0.000365263	0.000133593	3.28008e-05	0.000631254	0.000331973	7.82982e-06	3.90411e-05	0	0	-1.33576e-09	0	1.7164e-23	1.56431e-08	1.68684e-08	1.95559e-06	2.09696e-05	1.88662e-06	1.30986e-07	0	0	5.77602e-10	0	0	0	4.9748e-10	0	0	0	1.38854e-11	0	0	0	0	7	7.5	0.616261
setup	0	2008-01-02 20:00:00	0.00206488	0.00268478	0.00240883	0.0647404	0.000364476	0.000135263	3.27467e-05	0.000643057	0.000334307	8.48413e-06	4.0171e-05	0	0	-1.33459e-09	0	3.92911e-24	1.61627e-08	1.73527e-08	1.97446e-06	2.07745e-05	1.87971e-06	1.29178e-07	0	0	5.91549e-10	0	0	0	5.002e-10	0	0	0	1.31556e-11	0	0	0	0	7	7.5	0.612675
setup	0	2008-01-02 21:00:00	0.00205989	0.00268863	0.00240308	0.0647433	0.000363716	0.000135644	3.39242e-05	0.000648201	0.000342878	8.67727e-06	4.17808e-05	0	0	-1.33588e-09	0	5.58347e-24	1.66859e-08	1.78711e-08	1.99519e-06	2.03994e-05	1.8269e-06	1.32272e-07	0	0	6.17322e-10	0	0	0	5.03657e-10	0	0	0	1.24355e-11	0	0	0	0	7	7.5	0.614522
setup	0	2008-01-02 22:00:00	0.00205511	0.00269242	0.00239733	0.0647461	0.000362972	0.000137305	3.38141e-05	0.000659647	0.000344956	9.38168e-06	4.28876e-05	0	0	-1.33276e-09	0	6.82424e-24	1.72121e-08	1.83657e-08	2.01048e-06	2.02238e-05	1.81728e-06	1.30129e-07	0	0	6.50892e-10	0	0	0	5.06766e-10	0	0	0	1.17523e-11	0	0	0	0	7	7.5	0.610842
setup	0	2008-01-02 23:00:00	0.00205046	0.00269624	0.00239159	0.0647489	0.000362255	0.000137401	3.52057e-05	0.000662291	0.000355418	9.53204e-06	4.4564e-05	0	0	-1.33632e-09	0	6.61744e-24	1.77414e-08	1.89011e-08	2.02843e-06	1.98401e-05	1.75907e-06	1.34126e-07	0	0	6.98645e-10	0	0	0	5.10734e-10	0	0	0	1.11516e-11	0	0	0	0	7	7.5	0.614611
setup	0	2008-01-03 00:00:00	0.00204584	0.00270014	0.00238583	0.0647516	0.000361714	0.000137114	3.70245e-05	0.000664406	0.000365872	9.94714e-06	4.59872e-05	0	0	-2.85627e-09	0	1.36485e-23	1.82682e-08	1.9422e-08	2.03658e-06	1.92387e-05	1.7101e-06	1.3301e-07	0	0	1.53564e-09	0	0	0	6.98685e-10	0	0	0	1.62138e-11	0	0	0	0	7	7.5	0.615488
setup	0	2008-01-03 01:00:00	0.0020414	0.0027039	0.00238008	0.0647544	0.000361137	0.00013918	3.63601e-05	0.000676024	0.000366144	1.08853e-05	4.68666e-05	0	0	-1.77762e-09	0	-6.20385e-24	1.87978e-08	1.98779e-08	2.02068e-06	1.84259e-05	1.65876e-06	1.28466e-07	0	0	1.88628e-09	0	0	0	6.26961e-10	0	0	0	1.65186e-11	0	0	0	0	7	7.5	0.610506
setup	0	2008-01-03 02:00:00	0.00203705	0.00270763	0.00237432	0.0647573	0.000360668	0.000139941	3.69011e-05	0.000680027	0.0003733	1.13593e-05	4.81878e-05	0	0	-1.34913e-09	0	-7.85822e-24	1.93302e-08	2.03711e-08	1.99989e-06	1.75418e-05	1.55032e-06	1.27625e-07	0	0	1.9696e-09	0	0	0	5.67341e-10	0	0	0	1.3673e-11	0	0	0	0	7	7.5	0.612472
