#%info
#%EC station description
#   Kapiti = "The Savanna site in Kenya"

#   author  = ""
#   contact = ""
#   date    = "2021-05-10"
#   comments = ""
#
#%abbreviations
#   NEE = "Co2 flux"
#   H2O = "H2O flux"
#   LE = "Latent heat flux"
#   H = "sensible heat flux"
#   ET = "Evapotranspiration"
#   LAI = "LAI"
#%units
#   NEE = "micromolm-2s-1"
#   H2O = "mmol+1s-1m-2"
#   LE = "W+1m-2"
#   H = "W+1m-2"
#   ET = "mm+1hour-1"
#   LAI = "m2 m-2"
#

#%data
datetime	nee	h2o	LE	H	ET LAI
2019-02-08	-0.17637648	0.30165087	13.27707827	95.1739604	0.019546957	-99.99
2019-02-09	-0.156490527	0.278658295	12.26418869	93.38418645	0.018057044	1.6
2019-02-10	-0.172616499	0.278794266	12.26728768	93.83116422	0.018065857	-99.99
2019-02-11	-0.116630365	0.270183989	11.88868481	91.25021553	0.017507912	-99.99
2019-02-12	-0.112147952	0.263263482	11.53528289	91.4865571	0.016988177	-99.99
2019-02-13	-0.090514325	0.26184207	11.47483281	90.99748646	0.016904981	1.1
2019-02-14	-0.079137802	0.27004532	11.83576226	91.30682059	0.017443484	-99.99
2019-02-15	-0.085776999	0.268579749	11.77393834	92.35637755	0.017354061	-99.99
2019-02-16	0.049698827	0.330908069	14.41278821	89.99803608	0.021226837	-99.99
2019-02-17	0.077296511	0.359403022	15.66972759	89.81016986	0.023073308	1
2019-02-18	0.110190782	0.389693397	17.00478005	89.46120854	0.025036124	-99.99
2019-02-19	0.158805568	0.403292323	17.60559529	87.44096129	0.025917333	-99.99
2019-02-20	0.26531319	0.460922058	20.11726087	85.63979736	0.029614337	-99.99
2019-02-21	0.261175943	0.47201445	20.6026992	86.43975588	0.030333126	0.7
2019-02-22	0.275591451	0.478875296	20.93813326	86.50702111	0.030827611	-99.99
2019-02-23	0.278418939	0.486208918	21.07166688	86.80835596	0.031024559	-99.99
2019-02-24	0.273840768	0.479047544	20.73322682	86.96109412	0.030524548	-99.99
