%global
       time = "2008-01-01/1"

%climate
        id = 0

%attributes
        elevation = "719"
        latitude = "47.48"
        longitude = "11.06"

%data
prec	tavg	tmax	tmin	grad	wind
0.6	8.85	12.4	5.9	-99.99	1.5
0	5.666666667	11.7	0.5	-99.99	1.4
0	6.258333333	16.5	-0.3	-99.99	1.4
0	5.891666667	16	-0.1	-99.99	1.4
0	6.6125	16.6	0.3	-99.99	1.3
0	4.679166667	12.2	-0.1	-99.99	1.5
0	6.016666667	16.3	-0.6	-99.99	1.3
0	5.491666667	15.8	0.3	-99.99	1.3
0	7.275	18.4	-0.1	-99.99	1.4
0	11.71666667	19.4	6.1	-99.99	2
0	11.91666667	18.8	7.9	-99.99	1.6
0	10.88333333	19.5	5.6	-99.99	1.6
0	6.116666667	7.6	2.5	-99.99	1.4
0	8.579166667	18.8	2.6	-99.99	1.5
0	6.704166667	17.2	1.5	-99.99	1.3
0	2.825	7	-0.9	-99.99	1.5
0	2.270833333	4.2	-1.4	-99.99	1.2
0	3.516666667	14.2	-2.1	-99.99	1.4
0	1.020833333	8.3	-2.7	-99.99	1.3
0	0.225	8.9	-4.3	-99.99	1.4
0	-1.1125	3	-4.9	-99.99	1.4
0	-1.820833333	4.3	-4.4	-99.99	1.3
0	-0.433333333	11.1	-5.2	-99.99	1.4
0	0.058333333	9.8	-4.4	-99.99	1.3
0	-0.954166667	9.5	-5	-99.99	1.2
0	0.9	11	-4.4	-99.99	1.3
0	0.504166667	11.5	-3.8	108.2842941	1.2
0	0.183333333	10.9	-3.7	71.21963863	1.2
0	-1.9375	1.9	-4.5	69.936838	1.3
0	-2.775	2.2	-5.4	70.11895967	1.3
0	-1.7875	9.5	-6.6	68.84854963	1.2
0	-0.104166667	7.4	-4.5	65.88113438	1.4
0	0.104166667	11	-4.2	67.15797133	1.4
0	-0.125	8.5	-3.7	65.63178117	1.3
0	0.05	10.2	-4.4	63.13145421	1.3
0	3.216666667	11.8	-1.1	60.15936688	1.3
0	1.470833333	10.6	-2	56.20575167	1.1
0	1.541666667	12.6	-2.3	58.57729654	1.3
2.1	3.35	5.5	1.5	16.13064645	0.8
0.1	5.3	10	2.4	36.82580179	1.2
6.8	3.0625	10.8	-1.5	21.38857901	2
5.2	-0.154166667	1.5	-2.4	14.97133265	1
17.1	1.525	4.9	0.2	10.69955662	1.1
2	1.5625	6.9	-2.8	55.54463188	1.7
0	-0.054166667	7.1	-3.3	50.44959371	1.2
1	2.004166667	4	0.7	26.80981226	1
0.2	1.65	5	-0.7	53.86861025	1
3.8	1.283333333	6.1	-2.3	25.41823045	1.2
0	0.133333333	6.1	-3.7	49.28611925	1.2
1	3.008333333	8.6	-1.6	33.04672505	1.4
1.2	0.4125	3.6	-1.7	24.23638384	1.4
6.8	4.733333333	10.2	-0.2	17.02022828	3.2
5.4	-0.55	2.1	-2.1	15.22096616	1.7
0.4	-2.7875	2.4	-5.8	48.93639288	1
2.4	-3.2375	0.3	-7.7	38.17151752	0.9
10.8	-5.441666667	-1.6	-11.5	20.96990468	1
7.1	-0.383333333	0.5	-1.2	19.70186587	0.9
17.6	-0.054166667	0.7	-1	11.05544289	0.7
0.7	1.5125	7.1	-1	50.94078258	1
3.1	0.983333333	3.3	-0.4	14.13261299	1.4
0	-0.783333333	1.5	-4.4	36.9667748	0.7
0	-0.879166667	3.9	-3.9	38.04097509	1
0	-3.6625	2.4	-6.1	43.01743175	1.2
0	-3.754166667	4.2	-7	45.96472588	1.4
2.7	-1.591666667	1.3	-5.8	14.56134323	1.2
7.9	-0.616666667	1.7	-3.2	13.39639054	1.7
26.2	-1.116666667	0.8	-5.4	12.47576304	0.7
7.6	1.733333333	5.2	-1.2	37.62132204	1
5	1.354166667	4.2	-1.6	31.22066349	1.1
0.6	-0.220833333	3.9	-2.6	49.8586285	1.2
1.6	0.483333333	3.8	-2.6	22.97205721	1.5
15.7	2.4375	6.8	-2.9	6.822870563	2.1
16	0.154166667	1	-0.8	8.357272225	2.4
8.6	-0.166666667	3.5	-4.7	21.4628769	1.5
12.1	0.866666667	2.1	0.1	13.81112047	1.8
8.2	0.820833333	2.5	0.1	37.41798438	1.1
1.5	1.1625	3.2	-1.8	14.89555243	1.3
0	-1.179166667	3.5	-4.7	62.99829213	1
0	-3.358333333	2.4	-6	66.08744404	1.2
8.8	0.666666667	3.5	-1.8	38.74326197	1.8
0	-3.5	1.1	-10	46.16947129	1.1
0	-9.620833333	-1.4	-13.6	70.66639663	1.3
0	-11.55833333	-2.6	-15.2	71.73682458	1.2
0	-6.445833333	2	-13.5	76.51426075	1
0	-5.383333333	4	-9.8	70.98373529	1.2
7.2	4.525	11.2	-4.4	25.08239541	2.3
35.6	0.9625	3.7	-0.7	9.825138492	1.7
12.2	0.479166667	7.7	-1.8	13.8404266	1.5
11.5	4.95	8.3	1.2	42.53748258	2.6
4	2.779166667	6.7	0.5	30.27784992	1.5
21.6	-0.8	0.3	-3.5	26.35847297	1.4
0	-6.6375	0.6	-10	91.22022742	0.9
0	-6.3625	2.5	-10.9	89.95977125	1
0	-0.625	4.6	-8.4	65.70879058	0.9
2.7	0.075	0.8	-1	22.9803627	1.8
0	-1.975	-1	-3	18.99913155	2.4
0	-2.5375	-1.5	-3.1	22.69539447	1.8
0.6	-3.695833333	-0.7	-5.7	62.33573479	1.6
0.9	-7.266666667	-5.5	-8.2	24.17377371	2.3
2.1	-10.09583333	-8.3	-11.6	49.49186325	2.7
0	-13.93333333	-11.5	-19.3	89.06911038	2.1
0.1	-16.12083333	-11.4	-21.9	82.37686108	1.9
0	-14.1125	-9.8	-20.2	109.2919294	1.5
0	-15.3	-10.8	-21.7	116.5593618	1.8
1.5	-12.00416667	-10.4	-13.7	82.21942846	2.4
0	-12.55833333	-8	-16.5	111.6892857	1.3
1.1	-11.27916667	-5.8	-18	59.73427088	1.8
0.5	-10.81666667	-9.2	-12.3	55.76582142	2.6
0	-12.525	-10.1	-15.2	74.47727563	2.3
0	-15.64583333	-10	-20.9	115.7592633	1.3
0	-10.8125	-4.6	-19.7	70.513109	1.1
1.2	-4.054166667	-1.1	-6.9	56.49102692	0.9
8.6	-0.7125	1.2	-2.9	17.02101175	2.4
8.6	-1.491666667	1.4	-8	66.63532675	1.5
0	-2.454166667	3.1	-8.8	66.72640129	1
0	-0.629166667	6.5	-5.4	114.2157062	1
3.4	-0.854166667	4.8	-5.7	45.18094779	1.3
0.1	-2.4625	-1.1	-7.3	61.26753883	2
0	-5.9125	1.7	-12.4	161.1198585	1.4
0	-3.333333333	8.2	-11	161.811878	1.5
0	0.216666667	6.7	-6.7	64.34615417	1.1
0.1	4.891666667	13.6	0.2	152.7613544	1.3
1.2	3.245833333	7.2	1.4	46.55236713	1
13.9	0.766666667	2.1	0.1	23.99836978	1.2
1.8	1.1875	5.1	-1.2	176.8364759	1.4
0	2.216666667	7.3	-0.6	75.94379496	0.9
0	3.6875	10.5	-0.6	96.33313113	1.2
0	4.579166667	16	-1.8	173.0941756	1.3
0	5.1375	16.2	-1.5	173.9690868	1.2
0	4.954166667	14.7	-1.6	169.0630222	1.4
0	4.658333333	8.8	1.9	121.3607659	1.3
1.8	1.3625	3.6	-1.1	71.16189217	1.3
