row,time,.water.sim.soilwater_5cm
431,2019-03-08T23:00:00,12.0581
432,2019-03-09T23:00:00,11.809000000000001
433,2019-03-10T23:00:00,11.7951
434,2019-03-11T23:00:00,11.6379
435,2019-03-12T23:00:00,11.4275
436,2019-03-13T23:00:00,11.2368
437,2019-03-14T23:00:00,11.0609
438,2019-03-15T23:00:00,10.8904
439,2019-03-16T23:00:00,10.732999999999999
440,2019-03-17T23:00:00,10.5736
441,2019-03-18T23:00:00,10.4237
442,2019-03-19T23:00:00,10.2801
443,2019-03-20T23:00:00,10.1435
444,2019-03-21T23:00:00,10.0084
445,2019-03-22T23:00:00,9.88032
446,2019-03-23T23:00:00,10.0865
447,2019-03-24T23:00:00,10.3513
448,2019-03-25T23:00:00,10.2221
449,2019-03-26T23:00:00,10.0845
450,2019-03-27T23:00:00,12.339
451,2019-03-28T23:00:00,12.6983
452,2019-03-29T23:00:00,12.3197
453,2019-03-30T23:00:00,12.4949
454,2019-03-31T23:00:00,12.862
455,2019-04-01T23:00:00,14.0341
456,2019-04-02T23:00:00,13.7391
457,2019-04-03T23:00:00,14.0814
458,2019-04-04T23:00:00,14.2993
459,2019-04-05T23:00:00,13.8488
460,2019-04-06T23:00:00,14.0054
461,2019-04-07T23:00:00,13.5744
462,2019-04-08T23:00:00,13.2493
463,2019-04-09T23:00:00,13.1996
464,2019-04-10T23:00:00,12.9502
465,2019-04-11T23:00:00,13.0592
466,2019-04-12T23:00:00,12.8257
467,2019-04-13T23:00:00,12.7515
468,2019-04-14T23:00:00,12.5495
469,2019-04-15T23:00:00,12.3472
470,2019-04-16T23:00:00,12.1511
471,2019-04-17T23:00:00,11.9643
472,2019-04-18T23:00:00,11.7757
473,2019-04-19T23:00:00,12.3066
474,2019-04-20T23:00:00,12.7144
475,2019-04-21T23:00:00,13.2965
476,2019-04-22T23:00:00,13.9209
477,2019-04-23T23:00:00,15.4511
478,2019-04-24T23:00:00,17.4962
479,2019-04-25T23:00:00,19.0791
480,2019-04-26T23:00:00,27.0736
481,2019-04-27T23:00:00,25.5464
482,2019-04-28T23:00:00,23.8281
483,2019-04-29T23:00:00,22.7149
484,2019-04-30T23:00:00,22.1194
485,2019-05-01T23:00:00,21.3986
486,2019-05-02T23:00:00,20.9433
487,2019-05-03T23:00:00,20.6615
488,2019-05-04T23:00:00,22.1769
489,2019-05-05T23:00:00,29.5859
490,2019-05-06T23:00:00,28.0979
491,2019-05-07T23:00:00,28.1961
492,2019-05-08T23:00:00,27.5912
493,2019-05-09T23:00:00,27.5972
494,2019-05-10T23:00:00,26.7893
495,2019-05-11T23:00:00,26.735
496,2019-05-12T23:00:00,26.4687
497,2019-05-13T23:00:00,27.0796
498,2019-05-14T23:00:00,26.6106
499,2019-05-15T23:00:00,26.1604
500,2019-05-16T23:00:00,26.4456
501,2019-05-17T23:00:00,26.4848
502,2019-05-18T23:00:00,27.5294
503,2019-05-19T23:00:00,28.0934
504,2019-05-20T23:00:00,27.8224
505,2019-05-21T23:00:00,26.831999999999997
506,2019-05-22T23:00:00,26.8254
507,2019-05-23T23:00:00,28.2878
508,2019-05-24T23:00:00,27.6628
509,2019-05-25T23:00:00,27.3638
510,2019-05-26T23:00:00,27.1029
511,2019-05-27T23:00:00,26.4648
512,2019-05-28T23:00:00,25.7723
513,2019-05-29T23:00:00,24.9141
514,2019-05-30T23:00:00,24.0048
515,2019-05-31T23:00:00,23.4344
516,2019-06-01T23:00:00,25.1383
517,2019-06-02T23:00:00,27.9665
518,2019-06-03T23:00:00,27.2899
519,2019-06-04T23:00:00,26.2295
520,2019-06-05T23:00:00,26.9684
521,2019-06-06T23:00:00,26.8293
522,2019-06-07T23:00:00,26.3347
523,2019-06-08T23:00:00,25.0991
524,2019-06-09T23:00:00,24.8152
525,2019-06-10T23:00:00,23.6652
526,2019-06-11T23:00:00,22.9127
527,2019-06-12T23:00:00,22.0601
528,2019-06-13T23:00:00,21.2211
529,2019-06-14T23:00:00,20.8417
530,2019-06-15T23:00:00,20.1528
531,2019-06-16T23:00:00,19.4389
532,2019-06-17T23:00:00,18.6503
533,2019-06-18T23:00:00,17.9214
534,2019-06-19T23:00:00,17.2764
535,2019-06-20T23:00:00,16.6434
536,2019-06-21T23:00:00,16.3078
537,2019-06-22T23:00:00,15.856
538,2019-06-23T23:00:00,15.3025
539,2019-06-24T23:00:00,16.2964
540,2019-06-25T23:00:00,20.2479
541,2019-06-26T23:00:00,19.8662
542,2019-06-27T23:00:00,18.7206
543,2019-06-28T23:00:00,17.8085
544,2019-06-29T23:00:00,17.1457
545,2019-06-30T23:00:00,16.3477
546,2019-07-01T23:00:00,15.6136
547,2019-07-02T23:00:00,14.9218
548,2019-07-03T23:00:00,14.3436
549,2019-07-04T23:00:00,13.8464
550,2019-07-05T23:00:00,13.3415
551,2019-07-06T23:00:00,12.9077
552,2019-07-07T23:00:00,12.5014
553,2019-07-08T23:00:00,12.1169
554,2019-07-09T23:00:00,11.7675
555,2019-07-10T23:00:00,11.4522
556,2019-07-11T23:00:00,11.1875
557,2019-07-12T23:00:00,10.9158
558,2019-07-13T23:00:00,10.6731
559,2019-07-14T23:00:00,10.446
560,2019-07-15T23:00:00,10.4118
561,2019-07-16T23:00:00,10.2116
562,2019-07-17T23:00:00,10.047
563,2019-07-18T23:00:00,9.87116
564,2019-07-19T23:00:00,10.1769
565,2019-07-20T23:00:00,10.009
566,2019-07-21T23:00:00,9.843110000000001
567,2019-07-22T23:00:00,9.65226
568,2019-07-23T23:00:00,9.48586
569,2019-07-24T23:00:00,9.327060000000001
570,2019-07-25T23:00:00,9.188139999999999
571,2019-07-26T23:00:00,9.05035
572,2019-07-27T23:00:00,8.92838
573,2019-07-28T23:00:00,8.80965
574,2019-07-29T23:00:00,9.968810000000001
575,2019-07-30T23:00:00,13.0429
576,2019-07-31T23:00:00,16.2518
577,2019-08-01T23:00:00,15.6627
578,2019-08-02T23:00:00,14.6089
579,2019-08-03T23:00:00,13.9061
580,2019-08-04T23:00:00,13.4053
581,2019-08-05T23:00:00,12.9976
582,2019-08-06T23:00:00,12.6292
583,2019-08-07T23:00:00,12.9862
584,2019-08-08T23:00:00,13.1519
585,2019-08-09T23:00:00,12.7769
586,2019-08-10T23:00:00,12.8322
587,2019-08-11T23:00:00,12.6206
588,2019-08-12T23:00:00,12.368
589,2019-08-13T23:00:00,12.1609
590,2019-08-14T23:00:00,12.2539
591,2019-08-15T23:00:00,12.0469
592,2019-08-16T23:00:00,11.8499
593,2019-08-17T23:00:00,11.6715
594,2019-08-18T23:00:00,12.0025
595,2019-08-19T23:00:00,12.3607
596,2019-08-20T23:00:00,12.3455
597,2019-08-21T23:00:00,12.2541
598,2019-08-22T23:00:00,12.1725
599,2019-08-23T23:00:00,12.1419
600,2019-08-24T23:00:00,13.6215
601,2019-08-25T23:00:00,13.1594
602,2019-08-26T23:00:00,12.8912
603,2019-08-27T23:00:00,12.732999999999999
604,2019-08-28T23:00:00,13.5797
605,2019-08-29T23:00:00,13.6458
606,2019-08-30T23:00:00,13.7541
607,2019-08-31T23:00:00,13.8316
608,2019-09-01T23:00:00,14.2156
609,2019-09-02T23:00:00,14.4673
610,2019-09-03T23:00:00,14.1415
611,2019-09-04T23:00:00,13.7756
612,2019-09-05T23:00:00,13.5084
613,2019-09-06T23:00:00,13.3679
614,2019-09-07T23:00:00,13.5226
615,2019-09-08T23:00:00,13.3655
616,2019-09-09T23:00:00,13.174000000000001
617,2019-09-10T23:00:00,15.277000000000001
618,2019-09-11T23:00:00,14.7
619,2019-09-12T23:00:00,14.2756
620,2019-09-13T23:00:00,13.9501
621,2019-09-14T23:00:00,13.6912
622,2019-09-15T23:00:00,13.4766
623,2019-09-16T23:00:00,13.2673
624,2019-09-17T23:00:00,13.0685
625,2019-09-18T23:00:00,12.872
626,2019-09-19T23:00:00,12.6835
627,2019-09-20T23:00:00,12.5005
628,2019-09-21T23:00:00,12.3173
629,2019-09-22T23:00:00,12.2906
630,2019-09-23T23:00:00,12.8659
631,2019-09-24T23:00:00,13.3656
632,2019-09-25T23:00:00,13.4617
633,2019-09-26T23:00:00,16.4081
634,2019-09-27T23:00:00,16.1644
635,2019-09-28T23:00:00,15.4412
636,2019-09-29T23:00:00,14.9359
