*,*,date,tavg,tmin,tmax,grad,prec,rh,wind
2023,13,12-Jan-23,19.89791667,14,26.9,285.025,0.051,55,4.067673611
2023,14,13-Jan-23,19.72013889,12.7,26.6,295.6930556,0.017,55,3.6821875
2023,15,14-Jan-23,19.54826389,13.5,25.7,292.6125,0,55,3.315
2023,16,15-Jan-23,19.79097222,13.1,26.2,291.7305556,0,55,3.428125
2023,17,16-Jan-23,19.64861111,12.7,26.2,280.7736111,0,55,3.328229167
2023,18,17-Jan-23,19.53854167,13,26.4,254.8291667,0,55,3.384791667
2023,19,18-Jan-23,21.26527778,12.5,28.9,297.19375,0,55,3.288958333
2023,20,19-Jan-23,21.38923611,13.4,29,284.6819444,0,55,3.053298611
2023,21,20-Jan-23,21.07638889,14.4,28,292.3041667,0,55,3.494791667
2023,22,21-Jan-23,21.028125,14,27.2,294.18125,0,55,3.571979167
2023,23,22-Jan-23,20.68125,15.7,26,227.10625,0,55,3.849027778
2023,24,23-Jan-23,20.23541667,15.9,25.9,233.3868056,0,55,3.348090278
2023,25,24-Jan-23,20.25972222,14.7,26.5,259.0097222,0,55,3.888298611
2023,26,25-Jan-23,21.128125,14.6,27.7,288.1784722,0,55,3.488611111
2023,27,26-Jan-23,21.84826389,14.6,28.9,290.4305556,0,55,3.314097222
2023,28,27-Jan-23,20.20972222,13.8,26.5,280.2701389,0,55,4.121597222
2023,29,28-Jan-23,20.50034722,13.1,27.3,301.3076389,0,55,3.449583333
2023,30,29-Jan-23,20.63472222,12.2,27.5,297.9791667,0.017,55,3.603298611
2023,31,30-Jan-23,20.39201389,12.4,27.7,302.3465278,0,55,2.984722222
2023,32,31-Jan-23,20.57847222,13,27.8,302.8104167,0,55,3.050729167
2023,33,1-Feb-23,21.77951389,14.6,29.4,254.5381944,0,55,2.806597222
2023,34,2-Feb-23,21.89513889,14.6,29,239.0388889,0.017,55,3.052083333
2023,35,3-Feb-23,22.37743056,14.5,29.6,308.9347222,0.034,55,3.524305556
2023,36,4-Feb-23,22.35888502,13.9,30,302.8337979,0,55,3.89825784
2023,37,5-Feb-23,22.40625,14.7,29.3,300.2388889,0,55,3.325486111
2023,38,6-Feb-23,22.27604167,13.9,30.9,304.3069444,0,55,3.219618056
2023,39,7-Feb-23,21.609375,13.4,29.7,258.7125,0,55,3.357291667
2023,40,8-Feb-23,21.29826389,14.8,27.9,290.65625,0,55,3.400972222
2023,41,9-Feb-23,21.07361111,14.5,28.5,258.6881944,0,55,3.171388889
2023,42,10-Feb-23,22.22638889,14,29.6,301.8729167,0,55,3.684861111
2023,43,11-Feb-23,21.76041667,14.9,28.9,297.1194444,0,55,3.8471875
2023,44,12-Feb-23,21.32534722,15,28.2,302.2715278,0,55,4.498229167
2023,45,13-Feb-23,21.10902778,12,28.5,306.1513889,0,55,3.599444444
2023,46,14-Feb-23,20.97534722,13.8,28.4,297.2277778,0,55,3.543993056
2023,47,15-Feb-23,21.64826389,13.7,28.6,291.8965278,0,55,3.696770833
2023,48,16-Feb-23,21.84965278,14.1,28.6,277.0902778,0,55,3.876840278
2023,49,17-Feb-23,21.06041667,14.4,28.4,297.6583333,0,55,4.649583333
2023,50,18-Feb-23,20.60868056,14.8,27.2,278.3305556,0,55,4.493611111
2023,51,19-Feb-23,21.51388889,16.1,27.7,250.3861111,0,55,4.496701389
2023,52,20-Feb-23,21.46041667,15.1,27.9,296.4868056,0,55,4.427395833
2023,53,21-Feb-23,21.06597222,14,27.9,288.7034722,0,55,3.645347222
2023,54,22-Feb-23,21.38506944,14.1,28.3,292.5399306,0,55,3.514236111
2023,55,23-Feb-23,21.09652778,14.4,28.8,300.4680556,0,55,3.638368056
2023,56,24-Feb-23,22.10659722,16.3,28.9,293.9951389,0,55,3.4378125
2023,57,25-Feb-23,21.74340278,15.2,28,290.8125,0,55,3.891979167
2023,58,26-Feb-23,21.55590278,14.3,28.1,285.5111111,0,55,4.434236111
2023,59,27-Feb-23,20.39756944,15.4,26.3,265.7520833,0.034,55,4.186909722
2023,60,28-Feb-23,20.57291667,15.3,27.1,266.4256944,0,55,3.569722222
2023,61,1-Mar-23,21.94027778,14.9,28.5,301.7125,0,55,3.5046875
2023,62,2-Mar-23,22.04895833,15,28.9,294.3965278,0,55,3.795555556
2023,63,3-Mar-23,22.44583333,16.5,28.9,283.8256944,0,55,3.924375
2023,64,4-Mar-23,22.14583333,16.2,28.3,284.4256944,0,55,4.374895833
